ts_utc,balance,equity,margin,margin_free,leverage,profit
2025-12-01 13:57:50,90.76,90.76,0.0,90.76,100,0.0
2025-12-01 13:58:50,90.76,90.76,0.0,90.76,100,0.0
2025-12-01 13:59:50,90.76,90.76,0.0,90.76,100,0.0
2025-12-01 14:00:50,90.76,90.76,0.0,90.76,100,0.0
2025-12-01 14:01:50,90.76,90.76,0.0,90.76,100,0.0
2025-12-01 14:02:50,90.76,90.76,0.0,90.76,100,0.0
2025-12-01 14:03:50,90.76,90.76,0.0,90.76,100,0.0
2025-12-01 14:04:50,90.76,90.76,0.0,90.76,100,0.0
2025-12-01 14:05:50,90.76,90.76,0.0,90.76,100,0.0
2025-12-01 14:06:50,90.76,90.76,0.0,90.76,100,0.0
2025-12-01 14:07:50,90.76,90.76,0.0,90.76,100,0.0
2025-12-01 14:08:50,90.76,90.76,0.0,90.76,100,0.0
2025-12-01 14:09:50,90.76,90.76,0.0,90.76,100,0.0
2025-12-01 14:10:50,90.76,90.76,0.0,90.76,100,0.0
2025-12-01 14:11:50,90.76,90.76,0.0,90.76,100,0.0
2025-12-01 14:12:50,90.76,90.76,0.0,90.76,100,0.0
2025-12-01 14:13:50,90.76,90.76,0.0,90.76,100,0.0
2025-12-01 14:14:50,90.76,90.76,0.0,90.76,100,0.0
2025-12-01 14:15:50,90.76,90.76,0.0,90.76,100,0.0
2025-12-01 14:16:50,90.76,90.76,0.0,90.76,100,0.0
2025-12-01 14:17:50,90.76,90.76,0.0,90.76,100,0.0
2025-12-01 14:18:50,90.76,90.76,0.0,90.76,100,0.0
2025-12-01 14:19:50,90.76,90.76,0.0,90.76,100,0.0
2025-12-01 14:20:50,90.76,90.76,0.0,90.76,100,0.0
2025-12-01 14:21:50,90.76,90.76,0.0,90.76,100,0.0
2025-12-01 14:22:50,90.76,90.76,0.0,90.76,100,0.0
2025-12-01 14:23:50,90.76,90.76,0.0,90.76,100,0.0
2025-12-01 14:24:50,90.76,90.76,0.0,90.76,100,0.0
2025-12-01 14:25:50,90.76,90.76,0.0,90.76,100,0.0
2025-12-01 14:26:50,90.76,90.76,0.0,90.76,100,0.0
2025-12-01 14:27:50,90.76,90.76,0.0,90.76,100,0.0
2025-12-01 14:28:50,90.76,90.76,0.0,90.76,100,0.0
2025-12-01 14:29:50,90.76,90.76,0.0,90.76,100,0.0
2025-12-01 14:30:51,90.76,91.2,46.55,44.65,100,0.44
2025-12-01 14:31:51,90.76,90.56,46.55,44.01,100,-0.2
2025-12-01 14:32:51,90.76,90.4,46.55,43.85,100,-0.36
2025-12-01 14:33:51,90.76,91.2,46.55,44.65,100,0.44
2025-12-01 14:34:51,90.76,91.32,46.55,44.77,100,0.56
2025-12-01 14:35:51,90.76,91.32,46.55,44.77,100,0.56
2025-12-01 14:36:51,90.76,92.36,46.55,45.81,100,1.6
2025-12-01 14:37:51,90.76,93.04,46.55,46.49,100,2.2800000000000002
2025-12-01 14:38:51,90.76,93.24,46.55,46.69,100,2.48
2025-12-01 14:39:51,90.76,92.8,46.55,46.25,100,2.04
2025-12-01 14:40:51,90.76,92.4,46.55,45.85,100,1.6400000000000001
2025-12-01 14:41:51,90.76,91.84,46.55,45.29,100,1.08
2025-12-01 14:42:51,90.76,91.0,46.55,44.45,100,0.24
2025-12-01 14:43:51,90.76,90.8,46.55,44.25,100,0.04
2025-12-01 14:44:51,90.76,90.6,46.55,44.05,100,-0.16
2025-12-01 14:45:51,90.76,91.72,46.55,45.17,100,0.96
2025-12-01 14:46:51,90.76,91.68,46.55,45.13,100,0.92
2025-12-01 14:47:51,90.76,92.2,46.55,45.65,100,1.44
2025-12-01 14:48:51,90.76,91.48,46.55,44.93,100,0.72
2025-12-01 14:49:51,90.76,92.2,46.55,45.65,100,1.44
2025-12-01 14:50:51,90.76,92.0,46.55,45.45,100,1.24
2025-12-01 14:51:51,90.76,92.4,46.55,45.85,100,1.6400000000000001
2025-12-01 14:52:51,90.76,93.0,46.55,46.45,100,2.24
2025-12-01 14:53:51,90.76,92.96,46.55,46.41,100,2.2
